task,trajectory_id,state_index,robot,object_1,object_2,object_3,object_4,object_5,object_6,object_7,object_8,object_9,object_10,object_11,object_12,object_13,object_14,object_15,object_16,object_17,object_18,object_19,object_20,actions
"navigate to (x=-1.03,y=-2.21,yaw=84.5)",30,0,"(x=1.05,y=-1.15,yaw=112.8)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.03,y=-2.21,yaw=84.5)}"
"navigate to (x=-1.22,y=-1.23,yaw=-60.9)",31,0,"(x=0.15,y=-1.47,yaw=-66.8)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.22,y=-1.23,yaw=-60.9)}"
"navigate to (x=0.46,y=1.10,yaw=171.0)",32,0,"(x=-0.48,y=0.32,yaw=6.1)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.46,y=1.10,yaw=171.0)}"
"navigate to (x=1.38,y=-1.78,yaw=111.6)",33,0,"(x=-0.24,y=0.74,yaw=-105.6)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.38,y=-1.78,yaw=111.6)}"
"navigate to (x=1.45,y=-1.67,yaw=110.2)",34,0,"(x=-0.60,y=0.19,yaw=129.9)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.45,y=-1.67,yaw=110.2)}"
"navigate to (x=1.50,y=1.62,yaw=-74.6)",35,0,"(x=0.28,y=0.97,yaw=11.7)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.50,y=1.62,yaw=-74.6)}"
"navigate to (x=0.36,y=-1.57,yaw=-68.3)",36,0,"(x=-0.18,y=-1.49,yaw=-99.6)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.36,y=-1.57,yaw=-68.3)}"
"navigate to (x=-0.20,y=1.12,yaw=-95.4)",37,0,"(x=-0.59,y=-2.12,yaw=26.1)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.20,y=1.12,yaw=-95.4)}"
"navigate to (x=-0.03,y=0.69,yaw=-146.9)",38,0,"(x=-0.12,y=-0.79,yaw=-159.8)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.03,y=0.69,yaw=-146.9)}"
"navigate to (x=0.61,y=-2.06,yaw=119.2)",39,0,"(x=-0.54,y=0.99,yaw=-98.9)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.61,y=-2.06,yaw=119.2)}"
"navigate to (x=1.28,y=-0.09,yaw=-178.2)",40,0,"(x=-1.13,y=-2.04,yaw=99.6)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.28,y=-0.09,yaw=-178.2)}"
"navigate to (x=0.72,y=0.78,yaw=20.3)",41,0,"(x=-0.76,y=-1.04,yaw=-72.5)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.72,y=0.78,yaw=20.3)}"
"navigate to (x=0.47,y=-1.37,yaw=161.9)",42,0,"(x=0.66,y=-1.89,yaw=-48.7)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.47,y=-1.37,yaw=161.9)}"
"navigate to (x=-0.71,y=2.10,yaw=3.1)",43,0,"(x=0.55,y=1.68,yaw=162.5)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.71,y=2.10,yaw=3.1)}"
"navigate to (x=0.40,y=1.78,yaw=-169.8)",44,0,"(x=0.24,y=1.16,yaw=-126.2)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.40,y=1.78,yaw=-169.8)}"
"navigate to (x=1.19,y=2.27,yaw=100.2)",45,0,"(x=-0.43,y=-2.29,yaw=-154.1)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.19,y=2.27,yaw=100.2)}"
"navigate to (x=0.44,y=-0.88,yaw=-95.0)",46,0,"(x=0.30,y=-0.36,yaw=120.4)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.44,y=-0.88,yaw=-95.0)}"
"navigate to (x=1.08,y=-1.96,yaw=-112.1)",47,0,"(x=-0.36,y=-1.24,yaw=160.6)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.08,y=-1.96,yaw=-112.1)}"
"navigate to (x=1.06,y=-1.28,yaw=133.8)",48,0,"(x=-0.29,y=-0.97,yaw=172.1)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.06,y=-1.28,yaw=133.8)}"
"navigate to (x=-1.26,y=-0.51,yaw=4.0)",49,0,"(x=-0.33,y=-0.35,yaw=-165.5)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.26,y=-0.51,yaw=4.0)}"
"navigate to (x=-0.91,y=-1.08,yaw=114.7)",50,0,"(x=0.79,y=-0.31,yaw=117.6)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.91,y=-1.08,yaw=114.7)}"
"navigate to (x=-1.27,y=2.14,yaw=-88.5)",51,0,"(x=-0.53,y=-1.10,yaw=-17.9)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.27,y=2.14,yaw=-88.5)}"
"navigate to (x=-0.91,y=0.46,yaw=-144.4)",52,0,"(x=1.12,y=-2.12,yaw=-98.0)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.91,y=0.46,yaw=-144.4)}"
"navigate to (x=-0.94,y=1.87,yaw=84.8)",53,0,"(x=0.88,y=1.10,yaw=-55.8)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.94,y=1.87,yaw=84.8)}"
"navigate to (x=0.63,y=1.59,yaw=-51.3)",54,0,"(x=0.93,y=-1.39,yaw=165.1)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.63,y=1.59,yaw=-51.3)}"
"navigate to (x=-0.44,y=1.84,yaw=-101.8)",55,0,"(x=-0.51,y=-1.66,yaw=120.6)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.44,y=1.84,yaw=-101.8)}"
"navigate to (x=0.27,y=0.08,yaw=89.3)",56,0,"(x=0.94,y=2.13,yaw=40.7)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.27,y=0.08,yaw=89.3)}"
"navigate to (x=0.40,y=-2.17,yaw=-44.4)",57,0,"(x=1.11,y=-1.93,yaw=-32.4)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.40,y=-2.17,yaw=-44.4)}"
"navigate to (x=-0.17,y=1.06,yaw=-83.9)",58,0,"(x=0.86,y=1.64,yaw=136.8)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.17,y=1.06,yaw=-83.9)}"
"navigate to (x=-0.27,y=-0.03,yaw=-6.3)",59,0,"(x=-1.01,y=0.55,yaw=-126.0)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.27,y=-0.03,yaw=-6.3)}"
"navigate to (x=1.50,y=1.79,yaw=-78.8)",60,0,"(x=-0.25,y=-1.51,yaw=-131.6)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.50,y=1.79,yaw=-78.8)}"
"navigate to (x=-1.35,y=-1.58,yaw=27.2)",61,0,"(x=0.61,y=-0.47,yaw=59.4)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.35,y=-1.58,yaw=27.2)}"
"navigate to (x=0.44,y=0.11,yaw=-46.5)",62,0,"(x=0.53,y=1.99,yaw=-89.9)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.44,y=0.11,yaw=-46.5)}"
"navigate to (x=-1.10,y=1.57,yaw=-168.1)",63,0,"(x=0.22,y=1.12,yaw=-113.1)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.10,y=1.57,yaw=-168.1)}"
"navigate to (x=-0.87,y=1.04,yaw=-18.2)",64,0,"(x=-0.59,y=-1.94,yaw=51.8)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.87,y=1.04,yaw=-18.2)}"
"navigate to (x=-0.57,y=2.18,yaw=-123.3)",65,0,"(x=-0.50,y=1.35,yaw=47.0)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.57,y=2.18,yaw=-123.3)}"
"navigate to (x=0.86,y=-2.41,yaw=146.0)",66,0,"(x=-1.03,y=2.15,yaw=-69.7)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.86,y=-2.41,yaw=146.0)}"
"navigate to (x=0.78,y=-1.20,yaw=112.2)",67,0,"(x=0.39,y=-1.65,yaw=36.5)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.78,y=-1.20,yaw=112.2)}"
"navigate to (x=0.41,y=2.29,yaw=3.1)",68,0,"(x=0.68,y=-0.95,yaw=101.9)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.41,y=2.29,yaw=3.1)}"
"navigate to (x=0.61,y=-0.53,yaw=35.1)",69,0,"(x=-0.05,y=0.30,yaw=-39.1)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.61,y=-0.53,yaw=35.1)}"
"navigate to (x=-0.57,y=2.41,yaw=-77.0)",70,0,"(x=0.08,y=0.58,yaw=156.0)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.57,y=2.41,yaw=-77.0)}"
"navigate to (x=-0.04,y=2.04,yaw=-115.2)",71,0,"(x=0.52,y=-1.49,yaw=120.0)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.04,y=2.04,yaw=-115.2)}"
"navigate to (x=0.27,y=2.34,yaw=172.2)",72,0,"(x=0.08,y=2.26,yaw=-142.9)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.27,y=2.34,yaw=172.2)}"
"navigate to (x=-0.63,y=-2.44,yaw=29.5)",73,0,"(x=-0.82,y=0.76,yaw=-63.4)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.63,y=-2.44,yaw=29.5)}"
"navigate to (x=-1.31,y=1.08,yaw=42.4)",74,0,"(x=0.21,y=-1.63,yaw=100.5)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.31,y=1.08,yaw=42.4)}"
"navigate to (x=0.68,y=0.11,yaw=8.5)",75,0,"(x=-0.49,y=1.92,yaw=91.5)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.68,y=0.11,yaw=8.5)}"
"navigate to (x=0.74,y=0.07,yaw=30.0)",76,0,"(x=-0.65,y=-0.84,yaw=-155.8)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.74,y=0.07,yaw=30.0)}"
"navigate to (x=-1.20,y=0.88,yaw=20.6)",77,0,"(x=0.65,y=1.40,yaw=-26.2)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.20,y=0.88,yaw=20.6)}"
"navigate to (x=-1.20,y=-1.01,yaw=-57.0)",78,0,"(x=-0.25,y=2.19,yaw=-110.3)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.20,y=-1.01,yaw=-57.0)}"
"navigate to (x=0.91,y=-0.69,yaw=-107.7)",79,0,"(x=0.53,y=2.06,yaw=129.6)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.91,y=-0.69,yaw=-107.7)}"
"navigate to (x=-0.89,y=1.59,yaw=127.3)",80,0,"(x=-0.95,y=-0.51,yaw=-149.4)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.89,y=1.59,yaw=127.3)}"
"navigate to (x=1.04,y=0.41,yaw=-76.8)",81,0,"(x=0.02,y=0.46,yaw=11.2)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.04,y=0.41,yaw=-76.8)}"
"navigate to (x=0.35,y=-1.01,yaw=131.9)",82,0,"(x=0.41,y=-1.23,yaw=5.5)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.35,y=-1.01,yaw=131.9)}"
"navigate to (x=0.04,y=1.45,yaw=-146.7)",83,0,"(x=-0.87,y=-1.21,yaw=170.8)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.04,y=1.45,yaw=-146.7)}"
"navigate to (x=0.49,y=0.57,yaw=-96.5)",84,0,"(x=-0.45,y=2.06,yaw=171.6)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.49,y=0.57,yaw=-96.5)}"
"navigate to (x=1.25,y=1.39,yaw=-63.7)",85,0,"(x=0.37,y=-1.50,yaw=24.5)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.25,y=1.39,yaw=-63.7)}"
"navigate to (x=1.34,y=0.44,yaw=22.5)",86,0,"(x=-0.72,y=1.45,yaw=41.4)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.34,y=0.44,yaw=22.5)}"
"navigate to (x=-0.81,y=1.68,yaw=-170.5)",87,0,"(x=-0.23,y=-0.50,yaw=162.6)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.81,y=1.68,yaw=-170.5)}"
"navigate to (x=1.12,y=1.02,yaw=-53.5)",88,0,"(x=-1.00,y=-2.34,yaw=56.5)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.12,y=1.02,yaw=-53.5)}"
"navigate to (x=-1.49,y=-1.97,yaw=120.2)",89,0,"(x=0.08,y=-1.02,yaw=-154.7)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.49,y=-1.97,yaw=120.2)}"
"navigate to (x=0.68,y=1.51,yaw=122.5)",90,0,"(x=0.44,y=0.65,yaw=-107.8)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.68,y=1.51,yaw=122.5)}"
"navigate to (x=-0.05,y=2.06,yaw=171.4)",91,0,"(x=-0.20,y=1.22,yaw=24.3)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.05,y=2.06,yaw=171.4)}"
"navigate to (x=1.11,y=-1.35,yaw=45.1)",92,0,"(x=-0.87,y=-1.11,yaw=-109.9)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.11,y=-1.35,yaw=45.1)}"
"navigate to (x=-1.30,y=2.01,yaw=-9.9)",93,0,"(x=0.53,y=-0.47,yaw=-112.9)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.30,y=2.01,yaw=-9.9)}"
"navigate to (x=-0.67,y=1.25,yaw=-163.5)",94,0,"(x=0.93,y=-1.25,yaw=71.8)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.67,y=1.25,yaw=-163.5)}"
"navigate to (x=1.33,y=0.29,yaw=-132.2)",95,0,"(x=-0.34,y=0.45,yaw=-133.1)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.33,y=0.29,yaw=-132.2)}"
"navigate to (x=0.39,y=1.83,yaw=177.4)",96,0,"(x=-1.07,y=0.33,yaw=64.3)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.39,y=1.83,yaw=177.4)}"
"navigate to (x=-1.45,y=0.50,yaw=-14.3)",97,0,"(x=-0.78,y=-0.31,yaw=-134.6)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.45,y=0.50,yaw=-14.3)}"
"navigate to (x=1.26,y=-0.57,yaw=-126.5)",98,0,"(x=0.89,y=-0.88,yaw=143.1)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=1.26,y=-0.57,yaw=-126.5)}"
"navigate to (x=-0.41,y=-1.72,yaw=8.5)",99,0,"(x=0.17,y=-1.34,yaw=92.1)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.41,y=-1.72,yaw=8.5)}"
"navigate to (x=-0.74,y=-2.12,yaw=-114.7)",100,0,"(x=0.27,y=-1.12,yaw=54.4)",,,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.74,y=-2.12,yaw=-114.7)}"
"navigate to (x=0.85,y=1.85,yaw=-144.3)",101,0,"(x=0.56,y=0.73,yaw=164.2)",,"rect,1,[0.415, 0.599],(x=0.60,y=-1.66,yaw=-57.4)",,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.85,y=1.85,yaw=-144.3)}"
"navigate to (x=-0.82,y=-0.30,yaw=86.0)",102,0,"(x=0.90,y=1.20,yaw=-61.7)",,,,,,"rect,0,[0.538, 0.463],(x=-0.24,y=0.58,yaw=-157.1)",,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.82,y=-0.30,yaw=86.0)}"
"navigate to (x=-1.02,y=-1.64,yaw=-125.6)",103,0,"(x=0.01,y=2.11,yaw=123.1)",,,,,,"rect,0,[0.451, 0.635],(x=0.70,y=-0.37,yaw=43.6)",,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-1.02,y=-1.64,yaw=-125.6)}"
"navigate to (x=-0.83,y=-1.64,yaw=-76.2)",104,0,"(x=-0.43,y=2.09,yaw=54.1)",,"circle,1,[0.208],(x=-1.15,y=-0.23,yaw=23.8)",,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.83,y=-1.64,yaw=-76.2)}"
"navigate to (x=-0.96,y=1.19,yaw=143.6)",105,0,"(x=-0.42,y=-2.07,yaw=-176.6)",,,,,"rect,1,[0.41, 0.455],(x=0.89,y=-1.46,yaw=-115.2)",,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.96,y=1.19,yaw=143.6)}"
"navigate to (x=0.63,y=1.45,yaw=174.5)",106,0,"(x=-0.97,y=1.63,yaw=-98.4)",,"circle,1,[0.24],(x=-0.88,y=-0.11,yaw=-117.3)",,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.63,y=1.45,yaw=174.5)}"
"navigate to (x=0.91,y=-1.06,yaw=-47.7)",107,0,"(x=-1.03,y=1.01,yaw=-141.7)",,"circle,1,[0.27],(x=-0.29,y=0.29,yaw=-75.9)",,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.91,y=-1.06,yaw=-47.7)}"
"navigate to (x=-0.17,y=1.70,yaw=-14.4)",108,0,"(x=-0.97,y=-2.24,yaw=-62.1)",,,"rect,1,[0.542, 0.585],(x=0.70,y=-0.91,yaw=-27.1)",,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.17,y=1.70,yaw=-14.4)}"
"navigate to (x=0.19,y=-0.42,yaw=-153.8)",109,0,"(x=0.79,y=1.11,yaw=112.4)",,,,"rect,0,[0.422, 0.61],(x=-0.31,y=-2.07,yaw=90.7)",,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=0.19,y=-0.42,yaw=-153.8)}"
"navigate to (x=-0.54,y=1.77,yaw=-113.0)",110,0,"(x=0.19,y=-0.90,yaw=-115.5)","circle,0,[0.316],(x=0.88,y=0.54,yaw=-118.8)",,,,,,,,,,,,,,,,,,,,"{skill:navigate_to, object_id:, goal:(x=-0.54,y=1.77,yaw=-113.0)}"
